,points,faces,object_type
0,10357,10450,sphere
1,8286,8393,sphere
2,3285,3332,sphere
3,576,588,sphere
4,2175,2214,sphere
5,2882,2925,sphere
6,2358,2394,sphere
7,6624,6699,sphere
8,7476,7575,sphere
9,992,1089,sphere
10,1352,1404,sphere
11,127,250,sphere
12,3071,3100,sphere
13,1476,1496,sphere
14,5777,5852,sphere
15,704,708,sphere
16,1278,1298,sphere
17,5042,5085,sphere
18,1694,1786,sphere
19,6866,6952,sphere
20,4526,4611,sphere
21,262,286,sphere
22,11662,11770,sphere
23,5098,5152,sphere
24,11642,11760,sphere
25,6302,6400,sphere
26,839,868,sphere
27,902,912,sphere
28,6743,6848,sphere
29,5690,5760,sphere
30,1938,1958,sphere
31,4745,4836,sphere
32,1330,1411,sphere
33,1342,1360,sphere
34,912,1040,sphere
35,4552,4615,sphere
36,925,994,sphere
37,176,232,sphere
38,876,912,sphere
39,782,806,sphere
40,482,485,sphere
41,431,442,sphere
42,5355,5406,sphere
43,6062,6120,sphere
44,3728,3807,sphere
45,5420,5547,sphere
46,4843,4888,sphere
47,6614,6728,sphere
48,498,620,sphere
49,3054,3161,sphere
50,317,336,sphere
51,2554,2574,sphere
52,2320,2440,sphere
53,902,912,sphere
54,1916,1947,sphere
55,1192,1275,sphere
56,758,777,sphere
57,8586,8658,sphere
58,1410,1440,sphere
59,5312,5428,sphere
60,9896,9991,sphere
61,4156,4221,sphere
62,512,561,sphere
63,3922,3960,sphere
64,3458,3528,sphere
65,8570,8687,sphere
66,4202,4240,sphere
67,10012,10140,sphere
68,6302,6375,sphere
69,3782,3834,sphere
70,72,80,sphere
71,1802,1840,sphere
72,626,728,sphere
73,209,230,sphere
74,5392,5445,sphere
75,290,312,sphere
76,5612,5720,sphere
77,7226,7353,sphere
78,100,147,sphere
79,2277,2310,sphere
80,3494,3589,sphere
81,3746,3796,sphere
82,4702,4794,sphere
83,7740,7844,sphere
84,2042,2080,sphere
85,1042,1092,sphere
86,2682,2720,sphere
87,716,833,sphere
88,882,888,sphere
89,3406,3496,sphere
90,4877,5000,sphere
91,5942,6006,sphere
92,3458,3492,sphere
93,2370,2442,sphere
94,10202,10302,sphere
95,2453,2508,sphere
96,1136,1260,sphere
97,902,910,sphere
98,3970,4032,sphere
99,3902,3975,sphere
100,9324,9401,sphere
101,4354,4416,sphere
102,4461,4508,sphere
103,8362,8436,sphere
104,2378,2442,sphere
105,2202,2225,sphere
106,2510,2565,sphere
107,722,736,sphere
108,6440,6512,sphere
109,5202,5265,sphere
110,1838,1854,sphere
111,226,238,sphere
112,6995,7056,sphere
113,6410,6480,sphere
114,4775,4884,sphere
115,9547,9628,sphere
116,10478,10584,sphere
117,2195,2322,sphere
118,1010,1134,sphere
119,5784,5880,sphere
120,12098,12208,sphere
121,737,756,sphere
122,2602,2652,sphere
123,173,174,sphere
